"0","definition_responses <- read_csv("
"0","  file.path(data_derived_dir, ""definition_responses.csv""),"
"0","  show_col_types = FALSE"
"0",") |>"
"0","  mutate("
"0","    lecture_type = factor(lecture_type, levels = c(""Control"", ""PlotWise"")),"
"0","    practice_type = factor(practice_type, levels = c(""Control"", ""PlotWise"")),"
"0","    group = factor(group, levels = GROUP_LEVELS)"
"0","  )"
"0",""
"0","definition_responses_wide <- read_csv("
"0","  file.path(data_derived_dir, ""definition_responses_wide.csv""),"
"0","  show_col_types = FALSE"
"0",") |>"
"0","  mutate("
"0","    lecture_type = factor(lecture_type, levels = c(""Control"", ""PlotWise"")),"
"0","    practice_type = factor(practice_type, levels = c(""Control"", ""PlotWise"")),"
"0","    group = factor(group, levels = GROUP_LEVELS)"
"0","  )"
"0",""
"0","cat(""Definition response rows:"", nrow(definition_responses), ""\n"")"
"1","Definition response rows:"
"1"," "
"1","160"
"1"," "
"1","
"
"0","cat(""Definition response participants:"", n_distinct(definition_responses$participantId), ""\n"")"
"1","Definition response participants:"
"1"," "
"1","80"
"1"," "
"1","
"
"0","definition_responses |>"
"0","  count(responseId, name = ""n_rows"")"
